ZCTA5CE10,avg_transit_density
11004.0,10.333333333333334
11101.0,11.666666666666666
11102.0,4.5
11103.0,4.5
11104.0,3.8
11105.0,1.5
11106.0,3.6363636363636362
11109.0,4.0
11354.0,18.2
11355.0,11.333333333333334
11356.0,4.666666666666667
11357.0,4.666666666666667
11358.0,3.0
11360.0,11.0
11361.0,4.0
11362.0,1.6666666666666667
11363.0,1.0
11364.0,4.375
11365.0,10.75
11366.0,1.75
11367.0,7.111111111111111
11368.0,5.133333333333334
11369.0,9.0
11370.0,7.5
11372.0,8.0
11373.0,14.1875
11374.0,9.833333333333334
11375.0,7.5
11377.0,4.909090909090909
11378.0,5.4
11379.0,3.5
11385.0,9.5
11411.0,6.333333333333333
11412.0,3.888888888888889
11413.0,3.6
11414.0,6.2
11415.0,16.0
11416.0,6.75
11417.0,9.714285714285714
11418.0,6.777777777777778
11419.0,3.25
11420.0,7.1
11421.0,5.666666666666667
11422.0,3.6
11423.0,8.0
11426.0,1.8333333333333333
11427.0,5.0
11428.0,3.6666666666666665
11429.0,6.0
11432.0,26.444444444444443
11433.0,16.333333333333332
11434.0,6.133333333333334
11435.0,28.666666666666668
11436.0,3.4
11691.0,4.375
11692.0,2.0
11693.0,3.0
11694.0,3.7777777777777777
